epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,865.763,1.9861,4.40013,0.93223,0.82872,0.66111,0.75916,0.30943,2.09661,3.17001,0.86284,0.000665185,0.000665185,0.000665185
2,1805.06,1.7194,2.3695,0.8807,0.8334,0.76333,0.80658,0.37356,1.96594,1.97366,0.84623,0.0012,0.0012,0.0012
3,2869.7,1.64678,1.55068,0.86076,0.82938,0.74889,0.84257,0.41991,1.79878,1.50999,0.82725,0.00160281,0.00160281,0.00160281
4,3835.31,1.50238,1.12412,0.84951,0.86865,0.77889,0.8615,0.3964,1.75074,1.37149,0.82535,0.001406,0.001406,0.001406
5,4864.92,1.46501,0.92436,0.83147,0.87734,0.82651,0.89219,0.51184,1.59106,1.1345,0.81047,0.001208,0.001208,0.001208
6,5861.94,1.26412,0.76069,0.82641,0.91045,0.77,0.89995,0.49953,1.59877,1.19261,0.81401,0.00101,0.00101,0.00101
7,6890.12,1.23557,0.71108,0.81869,0.94309,0.77337,0.89714,0.49188,1.5872,1.06064,0.8111,0.000812,0.000812,0.000812
8,7803.13,1.13153,0.63283,0.81408,0.93865,0.85004,0.93518,0.54755,1.44258,0.84168,0.7933,0.000614,0.000614,0.000614
9,8674.38,1.04469,0.57718,0.80905,0.94324,0.87333,0.94681,0.55348,1.47648,0.84497,0.79622,0.000416,0.000416,0.000416
10,9535.08,0.99142,0.55881,0.79151,0.91032,0.8797,0.95227,0.5628,1.41875,0.84579,0.79593,0.000218,0.000218,0.000218
